dir;backbone;use_kd;T;use_refinement;entropt_thr;model_size_mb;macs;params;inference_time_ms;throughput_fps;ram_mb;GLOPS;cpu_core
timm-efficientnet-b3_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;adaptive;146,96753025054932;4003157056;12484523;52,310264110565186;19,116707151131138;1135,45703125;153,05436223907253;2
timm-efficientnet-b3_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;adaptive;146,96759128570557;4003157056;12484523;52,32658386230469;19,11074498254004;1146,90625;153,00662724454352;2
timm-efficientnet-b5_unet/imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;False;;350,66991329193115;5967162176;29997299;76,67050361633301;13,042825504369993;1190,0625;155,6573100356895;2
timm-efficientnet-b5_unet/imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;False;;350,6699743270874;5967162176;29997299;77,30292081832886;12,936121810327451;1241,1953125;154,38387354142924;2
timm-efficientnet-b5_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,05;350,6699743270874;5967162176;29997299;77,50849723815918;12,901811228868432;1389,32421875;153,9743999335916;2
timm-efficientnet-b5_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;0,05;350,6699743270874;5967162176;29997299;77,49731540679932;12,903672788544931;1387,32421875;153,9966163905715;2
timm-efficientnet-b5_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,15;350,6699743270874;5967162176;29997299;77,86452770233154;12,842818540207448;1385,75390625;153,27036205271486;2
timm-efficientnet-b5_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;0,15;350,6699743270874;5967162176;29997299;76,93697214126587;12,997652132239821;1387,953125;155,1181963606144;2
timm-efficientnet-b5_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,25;350,6699743270874;5967162176;29997299;77,71401405334473;12,867692039605322;1393,8359375;153,56721046229833;2
timm-efficientnet-b5_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;0,25;350,6699743270874;5967162176;29997299;77,2170901298523;12,950500961877063;1395,98046875;154,55547899992885;2
timm-efficientnet-b5_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,35;350,6699743270874;5967162176;29997299;77,69644260406494;12,870602134204812;1388,14453125;153,6019404751437;2
timm-efficientnet-b5_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;0,35;350,6699743270874;5967162176;29997299;76,9662857055664;12,992701815253083;1390,26953125;155,05911767204947;2
timm-efficientnet-b5_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,45;350,6699743270874;5967162176;29997299;77,4391770362854;12,91336037224974;1388,2734375;154,11223115669188;2
